"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV38",470.861452588815,0.16598876532078,2.63632696186915,0.0629621316784982,0.949796659006371,0.978148798081188,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio sp.","Anaerovibrio",NA,"NS"
"ASV124",21.5752479115355,-24.1597283676984,3.98691137218514,-6.05976057964312,1.36324311169603e-09,8.75011857739775e-09,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia sp.","Roseburia",NA,"Low"
"ASV1399",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV178",375.675430470867,2.94515145740585,2.88710120707312,1.02010675974591,0.307677831208379,0.454112734831618,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera sp.","Megasphaera",NA,"NS"
"ASV5",38092.2905651557,2.49819560100786,1.24673042542714,2.0037977337017,0.0450917317145106,0.17411330315339,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV100",142.996756526099,5.44365506613819,3.92870177854636,1.38561167861216,0.165865510199538,0.35428996376376,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV63",371.915030007001,1.9612516790552,2.68531543713285,0.730361748915895,0.465169093031977,0.601516851058791,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum sp.","Subdoligranulum",NA,"NS"
"ASV367",11.093987193806,-21.4768212323103,3.98723999098138,-5.38638789761542,7.18877308624258e-08,3.81557956115952e-07,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus sp.","Staphylococcus",NA,"Low"
"ASV4375",0.514929785957468,4.15809447523632,3.95720125918985,1.05076648946776,0.29336585007894,0.437670133090742,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV59",457.120518557561,0.817465581081153,2.93597234176148,0.278430954356573,0.780681560428571,0.843801345525189,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
