"","Prevalence_Ascaris","AscAbundance","Prevalence_Jej","JejAbundance","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalReads","Rel_abund","Rel_prev","Rel_prev_Ascaris","Rel_prev_Jej","Rel_abund_Ascaris","Rel_abund_Jej"
"ASV60",14,74271.802018704,4,47513.0602014843,18,121784.862220188,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii",1e+06,12.1784862220188,32.1428571428571,29.7872340425532,44.4444444444444,7.42718020187039,4.75130602014843
"ASV133",8,16663.110695328,3,3201.85554640576,11,19864.9662417337,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA,1e+06,1.98649662417337,19.6428571428571,17.0212765957447,33.3333333333333,1.6663110695328,0.320185554640576
"ASV147",4,3770.40920801822,1,434.707007476961,5,4205.11621549518,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter",NA,1e+06,0.420511621549518,8.92857142857143,8.51063829787234,11.1111111111111,0.377040920801822,0.0434707007476961
"ASV32",15,66378.1277326071,3,26404.7707642728,18,92782.89849688,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,9.278289849688,32.1428571428571,31.9148936170213,33.3333333333333,6.63781277326071,2.64047707642728
"ASV74",8,12342.5163404625,4,14594.3629810315,12,26936.8793214941,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003",NA,1e+06,2.69368793214941,21.4285714285714,17.0212765957447,44.4444444444444,1.23425163404625,1.45943629810315
"ASV66",8,18223.1489285542,1,3014.77238468496,9,21237.9213132392,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA,1e+06,2.12379213132392,16.0714285714286,17.0212765957447,11.1111111111111,1.82231489285542,0.301477238468496
"ASV4708",0,0,2,38.9860437524049,2,38.9860437524049,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,1e+06,0.00389860437524049,3.57142857142857,0,22.2222222222222,0,0.00389860437524049
"ASV231",2,1949.50083941172,5,1771.41284711392,7,3720.91368652564,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus",NA,1e+06,0.372091368652564,12.5,4.25531914893617,55.5555555555556,0.194950083941171,0.177141284711392
"ASV94",7,17708.3536368812,2,3561.46307363405,9,21269.8167105152,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,2.12698167105152,16.0714285714286,14.8936170212766,22.2222222222222,1.77083536368812,0.356146307363405
"ASV171",30,126364.435665902,0,0,30,126364.435665902,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,1e+06,12.6364435665901,53.5714285714286,63.8297872340426,0,12.6364435665901,0
"ASV128",4,1454.41279641162,3,391.187862766185,7,1845.60065917781,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.184560065917781,12.5,8.51063829787234,33.3333333333333,0.145441279641162,0.0391187862766185
"ASV80",9,33430.4003710485,1,148.887069158044,10,33579.2874402066,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,1e+06,3.35792874402066,17.8571428571429,19.1489361702128,11.1111111111111,3.34304003710486,0.0148887069158044
