"","Barcode_name","ASVs_dada2","input","filtered","denoisedF","denoisedR","merged","nochim","perc_original_sequences","perc_ASV_sequences"
"163","FLD0189",31,4130,1505,1298,1214,873,669,16.1985472154964,4.63378176382661
"164","FLD0190",37,4058,1438,1188,1132,709,549,13.5288319369147,6.73952641165756
"165","FLD0191",11,7496,3260,3204,3179,2498,2477,33.0442902881537,0.444085587404118
"166","FLD0192",24,4179,1360,1173,964,648,468,11.1988513998564,5.12820512820513
"167","FLD0195",43,6220,2286,2032,1905,1779,1728,27.7813504823151,2.48842592592593
"168","FLD0196",1,14,4,1,1,1,1,7.14285714285714,100
"169","FLD0197",14,4272,1610,1520,1508,1354,1312,30.7116104868914,1.06707317073171
"170","FLD0198",29,3197,1109,954,902,601,508,15.8898967782296,5.70866141732284
"171","FLD0199",34,3247,1244,1126,1069,803,690,21.2503849707422,4.92753623188406
"172","FLD0200",0,19,10,1,1,0,0,0,NA
"173","FLD0201",1,56,10,6,6,4,4,7.14285714285714,25
"174","FLD0202",36,4869,1650,1529,1476,1362,1345,27.623742041487,2.67657992565056
"175","FLD0203",68,9142,3140,2863,2754,1887,1491,16.3093415007657,4.560697518444
"176","FLD0204",21,6159,2330,2301,2241,1956,1581,25.6697515830492,1.32827324478178
"177","FLD0205",31,4137,1366,1169,1131,734,547,13.2221416485376,5.6672760511883
"178","FLD0206",27,2279,872,795,793,713,706,30.9784993418166,3.82436260623229
"179","FLD0207",37,4681,1549,1329,1278,971,719,15.3599658192694,5.14603616133519
"180","FLD0208",14,4785,2141,2128,2106,1832,1767,36.9278996865204,0.792303338992643
"181","FLD0209",25,4008,1696,1595,1562,1138,1027,25.62375249501,2.43427458617332
"182","FLD0210",44,8124,2607,2312,2195,1297,1028,12.6538650910881,4.28015564202335
"183","FLD0211",15,8063,2914,2782,2744,2005,1514,18.7771301004589,0.990752972258917
"184","FLD0212",46,4331,1582,1403,1340,973,779,17.986608173632,5.90500641848524
"185","FLD0213",10,8365,3952,3899,3908,3151,3112,37.2026300059773,0.32133676092545
"186","FLD0214",25,7490,3036,2827,2781,2624,2613,34.8865153538051,0.956754688097972
"187","FLD0215",17,4773,1878,1793,1809,1708,1673,35.0513304001676,1.01613867304244
"188","FLD0216",17,1892,615,542,495,466,448,23.6786469344609,3.79464285714286
"189","FLD0217",16,8180,2438,2397,2372,2167,2008,24.5476772616137,0.796812749003984
"190","FLD0219",20,7868,3317,2992,2949,2786,2786,35.4092526690391,0.717875089734386
"191","FLD0220",0,18,6,1,1,0,0,0,NA
"192","FLD0221",38,4623,1482,1260,1262,824,621,13.4328358208955,6.11916264090177
"193","FLD0222",8,6540,2423,2367,2360,2206,2199,33.6238532110092,0.363801728058208
"194","FLD0223",10,5540,2312,2235,2227,1834,1834,33.1046931407942,0.54525627044711
"195","FLD0224",23,4450,1424,1324,1314,1044,977,21.9550561797753,2.35414534288639
"196","FLD0225",29,3872,1159,1021,891,649,541,13.9721074380165,5.36044362292052
"197","FLD0226",0,24,8,4,1,1,0,0,NA
"198","FLD0227",54,7409,2718,2443,2393,1601,1187,16.0210554730733,4.54928390901432
"199","FLD0228",41,7368,2155,1945,1802,1217,972,13.1921824104235,4.21810699588477
"200","FLD0229",29,3222,1019,879,826,740,721,22.3774053382992,4.02219140083218
"201","FLD0230",13,4957,1868,1826,1805,1572,1242,25.0554771030865,1.04669887278583
